id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max
1,112158,215182,8650,,44Eta Peg,Matar,22.716704,30.221245,65.703,13.11,-26.11,4,2.93,-1.158,G2II-III..,0.852,53.59916,-18.717064,33.070991,0.00000867,0.0000014,-0.00000513,5.947219325,0.527460231,6.36E-08,-1.27E-07,Eta,44,Peg,1,111804,,253.0463049,,,
2,677,358,15,,21Alp And,Alpheratz,0.139791,29.090432,29.7442,135.68,-162.95,-12,2.07,-0.297,B9p,-0.038,25.974572,0.951042,14.461264,-0.00000002,0.00001958,-0.0000265,0.036597163,0.507723818,6.57795E-07,-7.90004E-07,Alp,21,And,1,676,,114.4985535,Alp,2.083,2.063
3,113881,217906,8775,,53Bet Peg,Scheat,23.062901,28.082789,60.0962,187.76,137.61,9,2.44,-1.454,M2II-IIIvar,1.655,51.433435,-12.877612,28.290136,0.00000286,0.00005567,0.0000397,6.037853304,0.490137132,9.10286E-07,6.67152E-07,Bet,53,Peg,1,113521,,332.3533036,Bet,2.584,2.384
4,113963,218045,8781,,54Alp Peg,Markab,23.079348,15.205264,40.8831,61.1,-42.56,-4,2.49,-0.568,B9.5III,-0.002,38.311434,-9.417123,10.722722,0.00000121,0.00001217,-0.00000921,6.042159146,0.265381927,2.96221E-07,-2.06337E-07,Alp,54,Peg,1,113603,,146.9602899,,,
5,1067,886,39,,88Gam Peg,Algenib,0.220598,15.183596,120.048,4.7,-8.24,4,2.83,-2.567,B2IV,-0.19,115.664183,6.687324,31.442127,0.00000504,0.00000303,-0.00000356,0.057752413,0.26500374,2.27862E-08,-3.99486E-08,Gam,88,Peg,1,1065,,926.4031007,Gam,2.846,2.816
